CODE_SEC;h10;h11;h12;h13;h14;h15;h16;h17;h18;h19;h20;h21;h22;h23;h0;h1;h2;h3;h4;h5;h6;h7;h8;h9
9303;25,47174191;24,50885958;26,66016374;25,28479796;25,28251878;26,5184457;26,62650053;26,71449874;25,84804214;23,98049084;22,098357;22,0047932;21,29392146;22,00789413;22,62255182;21,78486856;21,97578556;21,97578556;22,58935299;22,6961752;22,27364817;21,96824737;24,84737832;24,95788367
9304;28,45993081;28,46338531;28,25306423;26,88566175;29,39750878;28,93307774;25,62866289;24,52898834;26,72659872;30,79011015;31,79976601;32,68324159;33,98813853;34,33337002;34,36115642;34,139823;34,38826309;34,30483953;33,79017561;33,72142228;33,58040293;31,77021105;29,42330382;31,20871758
9305;23,69720413;22,33502499;23,6342989;24,77982509;26,86142878;29,63862767;28,96238151;30,18516239;32,80809246;30,981957;34,8841631;35,74599702;35,615479;35,67392642;35,62628386;35,76240235;35,76837633;35,76837633;36,73977035;36,63461305;36,04377888;36,37762273;25,42740759;23,4030752
9306;33,5265455;35,38215148;33,22526233;30,26344435;32,3572082;33,88842708;35,36614649;35,75938734;34,00078836;31,74896921;28,12283935;27,88879597;27,33366365;26,62737583;26,63999593;26,98473168;26,50320582;26,66624378;27,0286096;26,81528014;26,33196479;27,20883618;25,94835339;34,52147434
9307;31,05904297;32,60244814;35,33441517;35,73553729;37,9010779;32,7771766;33,6732794;35,28707959;32,16888945;35,90634438;35,74714166;37,18955219;36,4653379;36,61453954;36,97976618;36,48505046;36,48505046;36,75318524;34,75514749;34,79631942;35,67193372;34,80506447;34,37357968;31,92653769
9308;29,84773319;28,22387191;30,41606974;27,26602034;29,04893245;31,97381475;32,19017487;31,37532272;33,78907432;32,64106826;34,06771036;34,10388473;34,16223079;31,8922706;32,40769304;32,16486209;32,16486209;32,08396303;32,08514372;31,35280361;29,75556263;29,81185095;28,35320809;28,04820306
9309;31,23442086;31,4474001;28,97722478;29,17225764;30,61311615;31,43189076;30,43148489;30,9544149;30,88672906;31,07845711;32,7032581;31,71150097;30,02169975;30,23117562;30,42587333;30,23851684;30,59926329;30,59926329;29,3124704;29,8945058;29,66415492;28,10558399;28,16742451;30,61240839
9310;36,53352157;37,24689697;37,23231884;40,54466561;39,51995719;39,95757807;42,78356984;43,59178544;42,1436608;40,31083905;38,29827804;38,15297834;38,70881004;38,91966002;38,27193363;38,12715203;38,12715203;38,00786264;38,83276622;38,47970208;37,4903364;38,06235179;36,4695517;37,37136269
9311;24,664436;25,86655951;23,71258836;24,67406746;23,32091402;24,14181684;23,50373588;22,33366594;25,42248506;26,5186311;24,42158802;24,56457429;24,24094252;24,14704521;23,85064878;24,4059508;24,32167043;24,37407829;24,5002013;25,07135145;24,44499779;22,71794075;23,98847154;22,93254505
9312;27,96562096;28,79547505;29,2869034;29,36994805;30,0346705;29,04018009;28,28796535;27,82324438;29,07696656;29,78468041;33,10384088;33,31573788;33,87364611;33,31915267;33,13206645;33,36077079;33,23692416;33,13053204;32,78029518;32,38579061;32,68653038;33,4652978;35,41935914;32,09758442
9402;37,64817812;38,57888953;38,71191605;38,18292946;37,44482343;37,06478732;36,30806121;38,02258011;40,81497944;42,47672775;41,82908933;41,88338099;42,07458656;41,98747475;41,5054743;40,87643679;41,04297319;41,04297319;40,98252569;41,4612126;41,30787976;40,57849271;38,68619557;40,90269353
9403;29,14814588;26,98463955;28,12135476;27,81856591;25,31410099;26,91217235;26,6089028;28,37461681;26,07615364;27,37839935;29,01755625;29,47572447;28,87693484;28,37647057;30,18721672;30,28038939;29,51690817;29,40253106;29,37601757;29,37601757;29,30746379;29,72328204;29,64624737;30,50571811
9404;31,05193771;30,58641956;30,32689088;33,3539185;32,31046934;30,90091563;30,91936858;28,28349143;29,61882849;30,42693368;31,23274173;31,16500029;30,73582663;30,121;30,02458788;29,8282699;30,06173924;29,95058735;30,21659431;29,82660049;29,93342961;30,56374819;33,07732748;32,94152909
9405;26,70766899;26,63898326;28,51954708;27,76791602;30,89833813;27,83965423;28,68763987;27,77608312;28,7010575;30,16349367;31,86143316;33,48663484;34,89732912;34,26068077;34,47342456;32,15799155;31,6050948;31,29988372;30,87142011;32,20057819;33,0631635;29,18314664;29,22395707;26,40000493
9406;35,15402475;35,10017958;35,79691295;35,54017407;36,6659367;38,84949348;39,62971545;41,40771883;37,65555391;35,74209441;36,4158552;36,52941079;35,1158501;35,70906178;36,617692;37,2813937;37,2813937;37,49386629;37,21836711;37,07578241;36,91378247;37,02812089;34,67128472;33,41780122
9407;30,8518169;30,54653178;31,95292468;29,85561971;30,08553542;29,11875459;27,48313132;28,59192942;28,96112506;28,87659595;24,50146773;25,02135529;23,90879917;25,22861086;25,09574639;24,96425603;25,29714944;25,21659784;25,28576733;24,65263674;25,10542185;26,25642273;26,65199303;31,10591434
9408;31,3555905;31,49065264;31,93595176;31,07660775;34,13929127;32,65192418;31,8881733;28,55025751;32,84948709;27,95320866;29,1210762;30,47196376;29,96057303;30,0108767;28,90290588;29,52487005;29,5068081;29,7029478;28,47264394;28,64347754;27,84071649;28,34192675;29,22168061;27,45004363
9409;20,6405044;20,56831219;20,72825298;25,03808039;24,50414454;24,13688293;22,83219459;22,9319039;19,29290936;17,83159125;16,16402872;15,46768535;15,68255726;15,84914136;15,19467949;14,94625219;14,96025495;14,96025495;15,57575461;15,14906129;15,36869158;15,88031465;19,13253666;20,94649625
9410;32,30080911;32,41900608;31,58745368;30,6457948;28,88452065;28,6508023;29,45530702;32,44290761;31,22794427;31,2051751;30,33653704;28,90628227;28,94990237;29,36187496;28,32731307;28,87246722;28,79079367;28,441445;30,08675454;30,30623287;30,6118573;33,08714114;35,15576994;34,52573817
