CODE_SECT;h10;h11;h12;h13;h14;h15;h16;h17;h18;h19;h20;h21;h22;h23;h0;h1;h2;h3;h4;h5;h6;h7;h8;h9
9205;44626.9269275326;49694.2524819825;49419.181135072;50064.9690835838;49358.7848769634;49138.6833582068;50734.6568284949;46914.4687783586;38878.8791913465;32407.7717682543;25661.5392113499;22578.270616797;21647.0411995509;21742.8815623531;21914.395180116;21423.9533346918;23000.7769259199;23460.0254981061;23460.0254981061;23460.0254981061;23224.8235793738;23987.0419102482;24382.524178005;32337.9972656715
9206;28699.6724742587;29954.802512174;30226.6989461238;31478.9153102818;31963.97077046;30391.8162437574;29518.1261802035;30150.044780381;25196.9141142766;25236.0277044133;26590.565316639;26308.937026232;26802.547443247;26412.2900971265;26664.1252752832;26814.4920924619;27085.563523732;27085.563523732;26288.1283934693;26288.1283934693;26288.1283934693;25731.3381994323;26663.8860640197;22862.2112145811
9207;20080.5814169032;17287.5840575668;17693.455153116;18245.853867751;17253.3135337716;16321.9248774063;16646.4764601706;15159.350990654;14476.3893882297;14727.6579404692;18113.9019208384;21373.3048385664;22116.539943173;23819.4582765213;24220.5130057583;24468.2107474214;22891.3871561932;22891.3871561932;23349.4834930547;23349.4834930547;22914.2910770261;22834.8857123715;20459.0952550336;17879.9654882837
9208;23216.7990409354;25797.1391020695;26900.7352831411;26510.5420838801;25735.1471474667;25968.5808521497;25272.9333453316;25840.8010651887;24538.596750278;25332.2131035855;26034.1626186507;25792.8790108785;26687.7464085425;27244.4544179239;26878.3075602754;26746.102730897;26746.102730897;26908.9128042137;26083.1473964193;26083.1473964193;26083.1473964193;26176.24863327;23111.9745191858;24302.1753227363
9209;36786.3558675207;37341.1236261923;36971.9933606205;37277.4718463419;37586.3266808071;36650.9864514601;36500.8897406711;37263.3211426069;35123.8358734483;36598.7682811656;35414.8264256757;34209.7437494129;36515.788571088;35965.4929871584;38245.0790519872;38092.7788321873;38351.4816960503;38351.4816960503;38153.2971428796;37374.3525227225;37172.7264573968;36707.7581570485;35309.0679705675;33131.7447900233
9210;34243.9007077969;34579.0428330608;33842.0241375757;33700.848576352;32727.2852321013;29458.0872264567;29214.3710002684;28301.9116050195;28122.9257938847;26943.0426168581;27810.7040383858;30803.3597966428;30127.9419552696;29238.3920050508;30117.3462227824;30912.127297052;31404.0985415317;31210.9096024869;30695.1204924864;30695.1204924864;30695.1204924864;30999.2575405756;28806.1630088335;28260.2570039123
9211;14619.5972364091;13826.7798512322;13584.8877835968;13091.714782194;13579.5077332392;14104.8836363089;13498.6296129552;13521.6375688687;11917.8218110683;11426.6250320522;13250.9081434382;14764.6262787529;14764.6262787529;14278.436926895;13073.7806167046;13073.7806167046;13073.7806167046;13073.7806167046;14671.2521739104;14671.2521739104;14367.3864701815;14319.3949253956;15041.6877957875;12381.170953899
9212;14418.5256907642;14751.96592724;14900.6890356635;14875.8023823064;15115.7903898828;14828.863181232;15314.8801171583;14634.8667439328;16419.1279034711;17181.8062302467;18117.919234252;20996.6702071759;21194.240024694;20458.9864784571;19831.8731202778;19831.8731202778;19831.8731202778;19831.8731202778;19587.4225536705;19587.4225536705;19587.4225536705;19770.7094414499;16486.1230334719;15195.7779571297
9302;5979.10334736688;6546.45115291268;5274.54524697343;6180.82155131042;8047.88010825379;8504.1369567749;8934.6906051339;6082.58477992831;7397.47778540561;8069.5809692853;9570.76369513338;9339.49917328575;10140.6854522886;10140.6854522886;10152.076426808;9381.96613031767;9381.96613031767;9457.21178840261;9381.96613031767;9557.91779729953;9394.72913964284;8508.91913432672;7961.86348180786;6451.76789063875
9303;22937.5814392791;22749.6514327952;23632.9551560917;23452.1759093806;21883.3206633719;21427.2132390867;22582.2089205471;20664.9625356152;20998.8614773374;19009.5002539185;18172.6177676002;18531.7054873041;17855.7418124652;17147.4901944654;17285.2634561626;17704.5898394675;18099.8328625736;18099.8328625736;18099.8328625736;18099.8328625736;18099.8328625736;17321.7808158256;16408.2236230602;19416.6009916621
