"district","hour","mode1","mode2","mode3"
"039","11am",11.734391,76.04276,12.222854
"040","11am",10.982424,68.92737,20.090208
"041","11am",5.2244577,79.54395,15.231596
"042","11am",4.5625528,76.73656,18.700884
"043","11am",11.9183848,76.07141,12.010204
"044","11am",4.8570562,62.98057,32.162376
"045","11am",2.7233162,72.77404,24.502642
"046","11am",4.8981808,66.27272,28.829102
"047","11am",0,78.28763,21.712371
"048","11am",2.7725403,82.58835,14.639106
"049","11am",2.1330517,80.07173,17.79522
"050","11am",1.0323687,71.49696,27.470672
"051","11am",1.4049132,80.50779,18.087298
"052","11am",0,80.80714,19.192863
"053","11am",1.310937,75.0591,23.629967
"054","11am",2.6528693,83.24353,14.103596
"055","11am",0,71.4717,28.528296
"056","11am",3.4887119,56.82314,39.688149
"057","11am",0.9639573,79.46905,19.566988
"058","11am",1.8054923,79.76596,18.428544
"059","11am",1.1514447,58.94688,39.901675
"060","11am",12.5034954,64.89563,22.600874
"061","11am",0,75.79014,24.20986
"062","11am",1.6119431,78.83923,19.548822
"063","11am",1.9044368,81.69596,16.399599
"064","11am",2.3384421,65.09627,32.565292
"065","11am",7.5001997,58.62821,33.871591
"066","11am",0,68.50712,31.492883
"067","11am",0.7712985,63.98996,35.238745
"068","11am",0,66.97293,33.02707
"069","11am",1.3066898,75.58329,23.110023
"070","11am",1.2135514,68.41398,30.372471
"071","11am",1.8195794,66.03871,32.14171
"072","11am",1.4640053,78.63831,19.897684
"073","11am",4.2028326,41.37361,54.423555
"074","11am",7.677944,67.70791,24.614146
"075","11am",13.8373831,71.48523,14.677382
"076","11am",5.3420814,62.17705,32.480867
"077","11am",0,62.25272,37.747281
"078","11am",3.5464666,73.69541,22.758127
"079","11am",7.6569754,59.8175,32.525529
"080","11am",1.4094277,61.23484,37.35573
"001","12am",18.8387896,14.42648,66.73473
"002","12am",31.2780291,16.71395,52.00803
"003","12am",20.9603273,21.89118,57.14849
"004","12am",9.4940505,44.01435,46.4916
