"district","hour","educmen1","educmen2","educmen3","educmen4"
"023","8am",574.37422,2703.8649,2774.6354,2156.5903
"024","8am",686.7513,3504.8659,881.5597,634.145
"025","8am",586.67616,2091.1895,2328.6194,3698.6252
"026","8am",278.30317,1199.2191,1268.6893,2054.2492
"027","8am",465.43529,4045.3293,3995.8494,2903.4242
"028","8am",504.04936,3323.3782,3772.6324,2187.1454
"029","8am",396.64674,3041.3862,2342.8103,1780.2872
"030","8am",190.55056,1986.044,1546.1079,1316.3132
"031","8am",1093.81814,2505.2934,1726.9322,773.6478
"032","8am",449.77535,4008.5484,3836.8626,1099.8667
"033","8am",552.72883,5885.2851,2284.5835,912.8617
"034","8am",145.55969,1096.3913,1427.6049,646.4669
"035","8am",291.0266,4282.5289,2103.9686,1333.0567
"036","8am",229.58916,1931.0572,1785.2006,1101.5198
"037","8am",425.0272,3858.174,1784.6574,1093.2485
"038","8am",409.77195,1096.0282,1404.3001,1083.0652
"039","8am",63.48845,1213.3136,1363.6272,877.3529
"040","8am",829.71196,3591.2987,3345.4075,3331.5486
"041","8am",356.83001,1948.1969,1343.5126,1089.076
"042","8am",205.56532,1111.2765,808.913,533.885
"043","8am",915.10522,2210.1081,2394.1991,1252.1981
"044","8am",601.01105,1828.5984,1199.4272,952.5088
"045","8am",167.19642,2858.5658,727.3818,433.0629
"046","8am",270.534,2201.9976,1115.579,463.258
"047","8am",344.89339,2549.7296,2548.7429,550.6044
"048","8am",589.38402,1732.6233,1376.3517,704.5502
"049","8am",248.79481,2183.2807,724.1775,537.0998
"050","8am",204.9949,1035.2521,586.2267,194.097
"051","8am",161.75695,1182.3884,440.7496,431.9653
"052","8am",407.95391,1669.7591,1061.8539,732.9457
"053","8am",895.28055,2172.8187,925.341,570.2341
"054","8am",646.16345,2702.9698,1370.2753,508.1816
"055","8am",300.50836,1638.1577,1462.5412,428.9007
"056","8am",749.08609,3010.4075,2058.0268,789.8587
"057","8am",84.27223,1110.4681,863.296,780.4843
"058","8am",593.561,3730.0646,588.5495,396.46
"059","8am",1552.46279,5585.6489,2588.9834,512.5026
"060","8am",1455.00881,3598.9482,1964.0461,511.4644
"061","8am",1104.42286,3732.7079,1535.7603,512.7009
"062","8am",177.48047,2938.6712,1731.4416,1011.2839
"063","8am",85.25128,1015.2967,873.367,399.7677
"064","8am",494.98922,2181.0979,1332.1764,927.4356
"065","8am",757.8769,3292.0906,1587.3316,636.4975
"066","8am",431.86458,2990.3481,935.1993,1056.1017
"067","8am",1201.25537,4078.3805,1771.9861,381.867
"068","8am",700.27371,3746.8371,2033.5711,359.3707
"069","8am",520.44134,1973.3403,979.942,413.0385
"070","8am",1218.62144,5162.7742,2599.2586,728.2296
"071","8am",1535.86617,5823.2212,1507.4331,370.8531
"072","8am",948.45376,3491.5964,1580.664,440.6375
"073","8am",1318.91248,6585.0106,2886.5336,1493.4284
"074","8am",1485.61877,5230.1794,2002.8238,1395.0304
"075","8am",1696.9153,8125.773,2285.673,1535.267
"076","8am",1333.46999,2935.9873,911.0769,237.7572
"077","8am",1358.62924,1966.1671,1933.797,1143.2483
"078","8am",1425.51817,3938.3317,3077.4773,1429.7281
"079","8am",1810.67484,4540.9787,2536.2579,1152.4597
"080","8am",1655.08461,1561.5537,1437.7452,869.2313
"001","9am",391.27153,1817.6007,1756.9372,3285.0455
"002","9am",99.5768,1398.0739,2233.6625,1684.0627
"003","9am",755.97463,4385.6458,4331.0558,3437.8008
"004","9am",289.088,1413.3128,1320.1086,971.2864
"005","9am",168.18808,1541.405,1524.6447,1555.4429
"006","9am",780.705,2138.7735,1766.0192,2913.5584
"007","9am",102.5343,1250.9166,1405.6597,1794.5315
"008","9am",309.28466,633.7933,851.4506,519.9873
"009","9am",529.53574,4688.546,5240.1134,4038.5172
"010","9am",211.9407,2375.9774,1597.7979,1184.0844
"011","9am",214.38764,4986.9143,2409.4423,1241.6898
"012","9am",609.70137,3011.0633,1617.9777,828.6849
"013","9am",763.75658,3553.7229,2174.0233,1166.4778
"014","9am",559.97335,3860.8068,1944.488,1505.8021
"015","9am",167.74124,1161.2073,874.3556,509.3587
"016","9am",358.97111,1208.7003,1121.5658,872.5495
"017","9am",787.6192,3054.2325,2057.0367,2538.6109
"018","9am",2015.37542,4112.2982,2230.9286,1054.5634
"019","9am",1164.89315,3466.3391,3249.3958,2299.4202
"020","9am",1846.09168,1879.8176,801.0864,161.8431
"021","9am",385.68735,1095.3595,867.45,350.4639
"022","9am",357.89857,2909.3053,3139.4708,4284.3456
"023","9am",772.05823,2990.0113,2914.4685,2197.0363
"024","9am",876.11285,3822.8087,724.516,696.0582
"025","9am",653.1299,2497.2687,3299.509,3859.8364
"026","9am",278.30317,1048.8732,1517.1546,2142.5698
"027","9am",422.76289,3794.2274,4649.5608,3443.7495
"028","9am",401.51506,4231.8388,4435.0185,2718.8018
"029","9am",396.64674,2961.3062,2553.8341,1832.349
"030","9am",190.55056,2033.3878,1321.3747,1142.9175
"031","9am",1093.81814,2300.2406,1566.4898,773.6478
"032","9am",449.77535,4448.3606,4169.3497,1481.2371
"033","9am",530.90169,6243.0954,2713.3864,1337.1992
"034","9am",167.38683,1112.5409,1335.0552,646.712
"035","9am",292.00161,4342.3353,2256.4755,1510.133
