"district","hour","educmen1","educmen2","educmen3","educmen4"
"063","9am",4.242286,41.88382,36.04286,17.831036
"064","9am",11.374319,48.99033,28.1976,11.437753
"065","9am",10.463923,51.3154,25.36827,12.852402
"066","9am",8.665084,51.47174,20.46606,19.39711
"067","9am",16.822099,55.26333,23.10463,4.809935
"068","9am",11.108098,52.05072,31.49147,5.349709
"069","9am",15.566155,48.7303,22.77536,12.928181
"070","9am",10.778375,55.86201,26.48764,6.87198
"071","9am",17.267488,65.60035,12.88254,4.249627
"072","9am",16.389381,49.60614,26.66265,7.341835
"073","9am",10.869136,54.3499,21.96359,12.817378
"074","9am",16.031122,48.35549,21.13433,14.47905
"075","9am",9.356915,60.29845,19.26498,11.079656
"076","9am",25.391826,53.87765,16.20317,4.527352
"077","9am",22.471354,32.38373,28.88426,16.260658
"078","9am",13.153603,37.76409,32.03607,17.046229
"079","9am",17.902597,47.37163,23.91427,10.811505
"080","9am",28.388257,28.8575,29.73707,13.017178
"001","10am",5.410138,25.95527,26.18927,42.445322
"002","10am",3.566231,23.14709,41.8068,31.479879
"003","10am",6.137761,34.91021,31.72606,27.225969
"004","10am",6.319809,35.80428,33.48992,24.385983
"005","10am",3.475541,29.55366,30.57955,36.391249
"006","10am",8.711437,26.79254,26.25933,38.236696
"007","10am",2.834369,31.50372,34.26219,31.399722
"008","10am",15.59439,28.17854,33.16094,23.066135
"009","10am",3.122324,30.43403,38.05116,28.39248
"010","10am",4.407701,45.26894,25.92079,24.402571
"011","10am",2.984193,56.38557,26.8131,13.817138
"012","10am",9.712168,51.68719,26.79514,11.805504
"013","10am",9.362548,45.35162,29.55012,15.735707
"014","10am",7.321706,47.15875,24.44178,21.077758
"015","10am",5.873473,39.76781,34.10361,20.255106
"016","10am",9.756221,34.91324,32.17543,23.15511
"017","10am",9.894196,39.71741,22.72441,27.66398
"018","10am",21.850301,42.07486,21.9599,14.114939
"019","10am",11.36678,33.978,32.47133,22.183886
"020","10am",42.667745,35.85102,16.78199,4.699246
"021","10am",14.920778,39.26471,33.92065,11.893857
"022","10am",3.52732,29.86995,27.29879,39.303946
"023","10am",8.024349,32.08279,34.85157,25.041291
"024","10am",12.944409,66.14411,12.27576,8.635718
"025","10am",6.276734,25.78647,31.2339,36.702898
"026","10am",4.86212,22.71518,29.00387,43.418827
"027","10am",3.383005,31.41031,37.78679,27.419896
"028","10am",3.219198,38.22477,35.29689,23.25914
"029","10am",2.665687,39.81008,34.15882,23.365409
"030","10am",7.697611,39.57836,29.26434,23.459691
"031","10am",18.484043,40.67269,27.2292,13.61406
"032","10am",4.547539,42.87569,36.8941,15.682669
"033","10am",5.28846,56.66006,26.44259,11.608887
"034","10am",3.856801,32.79732,40.4498,22.896079
"035","10am",4.334302,49.40604,28.34009,17.919567
"036","10am",5.250551,37.50889,37.50266,19.73789
"037","10am",6.052687,54.05288,22.84782,17.046617
"038","10am",11.382864,29.91953,34.41717,24.280435
"039","10am",3.772326,32.82335,34.85593,28.548396
"040","10am",8.21565,31.3791,31.34459,29.060658
"041","10am",5.385556,42.1572,27.74076,24.716488
"042","10am",6.092177,41.53023,32.92665,19.450944
"043","10am",14.524628,34.29843,36.70605,14.470895
"044","10am",12.590597,43.21207,20.47751,23.71982
"045","10am",3.703718,65.40945,19.92345,10.963382
"046","10am",5.565961,58.06291,26.86052,9.510605
"047","10am",4.889843,40.6479,43.37458,11.087675
"048","10am",13.406927,40.15546,33.5674,12.870217
