"district","hour","resarea1","resarea2","resarea3"
"023","10am",1332.57412,2458.58612,6984.51182
"024","10am",301.61515,424.49855,4720.19172
"025","10am",1829.58198,2573.95157,17756.42541
"026","10am",252.15721,447.14647,4450.04512
"027","10am",2614.78027,3460.38047,6834.09049
"028","10am",1884.64999,3165.6501,9060.79081
"029","10am",486.02364,5089.6089,1754.18759
"030","10am",907.24268,3415.87341,467.6512
"031","10am",5079.13855,449.64047,109.08033
"032","10am",6646.38169,2317.13314,1884.73609
"033","10am",1828.57172,7760.41866,1774.88304
"034","10am",748.81586,2022.37163,574.99919
"035","10am",1164.99289,5293.94876,2112.58114
"036","10am",583.25448,3501.81157,434.9589
"037","10am",816.85768,5744.17588,461.09046
"038","10am",258.05622,3257.00718,477.84752
"039","10am",265.61407,2461.69115,477.92662
"040","10am",1799.17928,9194.03451,1543.57819
"041","10am",796.00462,3740.16058,802.75976
"042","10am",217.40221,2355.63644,281.65712
"043","10am",880.80413,5255.08665,1484.9068
"044","10am",3581.87057,396.19198,494.78602
"045","10am",116.8882,3712.12743,185.67224
"046","10am",222.78591,3490.69069,105.36088
"047","10am",1169.47015,4422.86135,904.41208
"048","10am",3362.48611,151.81749,131.25931
"049","10am",3057.8168,0,227.52607
"050","10am",1656.07097,0,134.17718
"051","10am",132.76886,1850.18362,0
"052","10am",3289.46033,181.87443,195.50148
"053","10am",3774.03438,0,40.16138
"054","10am",3755.37146,583.46992,478.88829
"055","10am",2849.58099,146.66742,160.81783
"056","10am",341.53478,5832.6039,179.13272
"057","10am",178.74544,2143.70519,264.6646
"058","10am",406.42452,4152.24947,0
"059","10am",638.10833,9385.55373,258.06842
"060","10am",1856.37162,5600.52336,186.77289
"061","10am",5877.19442,640.70229,161.14283
"062","10am",4887.68646,310.222,76.20941
"063","10am",1616.65324,227.38503,135.36444
"064","10am",4347.30429,0,66.36265
"065","10am",5571.55091,103.76359,322.23919
"066","10am",4888.6654,73.04682,0
"067","10am",6220.77808,637.70288,183.99116
"068","10am",6457.16686,265.21239,72.92888
"069","10am",2812.63176,261.95974,349.22023
"070","10am",999.64682,9312.06462,225.59412
"071","10am",131.4253,8487.04469,66.21965
"072","10am",418.25171,5914.65319,115.298
"073","10am",402.28212,12486.01417,87.29451
"074","10am",716.86476,8613.42326,54.91901
"075","10am",1355.951,12462.50793,295.33006
"076","10am",215.20261,4860.83118,0
"077","10am",5836.0071,0,65.27096
"078","10am",11066.43074,241.80436,95.06255
"079","10am",10411.76818,86.69233,94.08346
"080","10am",5962.38169,68.82892,137.29142
"001","11am",902.5699,1633.11847,8951.39896
"002","11am",889.93542,1431.04056,5448.46996
"003","11am",678.20354,1885.4741,10442.54737
"004","11am",394.76731,228.65485,3368.70121
"005","11am",324.98147,781.91016,4552.87645
"006","11am",989.35069,1187.26834,9338.89948
"007","11am",121.37864,450.58425,4714.81785
"008","11am",0,186.99126,1815.2732
"009","11am",2306.3312,3629.42902,9845.34175
"010","11am",219.3161,819.47964,4280.35046
"011","11am",762.64172,894.77203,6185.95217
"012","11am",0,347.23624,6120.05227
"013","11am",641.15842,1455.50148,4869.33574
"014","11am",411.65313,410.78934,7170.22989
"015","11am",246.16921,65.80097,2874.04308
"016","11am",132.33588,661.00963,3151.16461
"017","11am",982.36588,1411.60724,7155.96749
"018","11am",867.68675,770.71777,7278.26268
"019","11am",1761.13374,1698.55134,6599.65467
"020","11am",81.35352,165.60343,5732.72896
"021","11am",275.32259,115.4324,3021.73434
"022","11am",2538.47567,2750.27303,10688.2525
"023","11am",1267.98154,2383.05729,6904.82551
"024","11am",292.75749,472.61615,4788.51141
"025","11am",1662.6299,2380.77214,16482.42593
"026","11am",239.12617,351.51878,4472.77708
"027","11am",2440.47888,3122.41403,6849.19221
"028","11am",1702.28418,2762.44035,8812.92381
"029","11am",533.63556,5080.57704,1734.93553
"030","11am",838.58272,3084.69491,385.60348
"031","11am",5548.12444,461.15901,109.08033
"032","11am",6152.3258,1996.38115,1734.32922
"033","11am",1794.9647,7926.33335,1766.96231
"034","11am",600.62012,1975.94874,544.34814
"035","11am",1301.55722,5251.98528,2282.33789
"036","11am",482.92126,3578.98185,439.74688
"037","11am",639.07023,6172.95413,461.09046
"038","11am",122.06574,3268.65583,527.69091
"039","11am",344.31346,2637.75107,396.40274
"040","11am",1671.34529,8981.45413,1494.75423
"041","11am",762.77155,3867.63627,802.75976
"042","11am",226.64031,2374.80976,310.64192
"043","11am",626.81585,5122.70524,1404.05573
"044","11am",3878.83802,460.32286,583.31075
"045","11am",107.94839,3622.96939,224.31151
"046","11am",170.14219,3643.37185,105.36088
"047","11am",1294.36644,4892.29151,847.25935
"048","11am",3519.5573,82.62936,85.16849
"049","11am",3061.23185,29.69656,227.52607
"050","11am",1793.43282,0,134.17718
"051","11am",132.76886,1961.41645,0
"052","11am",3231.58265,148.20116,195.50148
"053","11am",4356.95923,28.19048,40.16138
"054","11am",3798.89068,574.9508,513.73705
"055","11am",2834.71801,146.66742,160.81783
"056","11am",341.53478,6176.25561,233.02283
"057","11am",271.68021,2350.61229,181.84576
"058","11am",406.42452,4555.79824,0
"059","11am",570.91313,8451.26891,356.56535
"060","11am",1411.83699,5630.05423,186.77289
"061","11am",6671.88132,504.78919,63.24531
"062","11am",5211.47476,342.74694,130.23264
"063","11am",1813.69399,227.38503,135.36444
"064","11am",4558.80163,0,0
"065","11am",5356.94094,103.76359,306.82209
"066","11am",5180.65392,73.04682,0
"067","11am",5968.27472,535.70845,136.60441
"068","11am",6599.80018,231.03885,72.92888
"069","11am",2937.53125,219.34975,154.30486
"070","11am",816.01643,9535.66174,141.44934
"071","11am",410.13548,8478.55884,66.21965
"072","11am",362.70569,5968.22763,115.298
"073","11am",506.13632,11620.27596,39.01573
"074","11am",659.57425,9816.6925,54.91901
"075","11am",1227.24395,12283.03192,295.33006
"076","11am",215.20261,4758.55905,0
"077","11am",6259.24423,50.80488,65.27096
"078","11am",10672.79497,189.13991,95.06255
"079","11am",9957.34255,136.16749,94.08346
"080","11am",5854.74639,103.30027,91.42024
"001","12am",547.92976,1535.07254,8307.97744
"002","12am",857.79495,1918.1006,6355.97927
"003","12am",800.59535,1623.00079,10782.94886
"004","12am",543.26848,257.27881,4174.35056
"005","12am",381.30875,445.73052,4076.27544
"006","12am",841.99775,809.68228,9623.79123
"007","12am",162.88034,259.03673,5046.87843
"008","12am",0,97.5261,2087.97604
"009","12am",2409.54652,3615.41872,9710.20831
"010","12am",191.80259,545.94096,4470.44076
"011","12am",864.09384,611.21606,5806.24014
"012","12am",0,393.26958,6629.47614
"013","12am",439.459,1406.96382,5044.84797
"014","12am",370.59042,409.03097,6926.3989
"015","12am",246.16921,132.3129,3091.51646
"016","12am",132.33588,563.88204,3540.06317
"017","12am",543.20626,1344.89779,6793.28383
"018","12am",687.1309,643.22269,7883.72953
"019","12am",1547.09493,1244.62976,6302.95039
"020","12am",113.43547,243.00439,6274.16718
"021","12am",221.98558,0,3843.44729
"022","12am",2387.62499,2327.15792,11105.4399
"023","12am",1170.545,1988.47745,6669.32177
"024","12am",310.39219,368.97319,5433.62189
"025","12am",1473.81593,2137.22202,15223.95975
"026","12am",318.47821,281.57553,5125.62091
"027","12am",1973.86187,2795.99087,6610.84355
"028","12am",1399.50491,2533.41863,9573.82254
"029","12am",363.31355,5185.78485,1266.0252
