"district","hour","rev1","rev2","rev3","rev4"
"9112","8am",13.579733,39.61717,28.462181,18.3409136
"9113","8am",14.676387,32.80271,32.041915,20.4789923
"9114","8am",9.06549,21.03151,43.982019,25.9209834
"9201","8am",26.978896,34.80042,27.462813,10.7578662
"9202","8am",26.670715,26.64149,26.335841,20.3519495
"9203","8am",19.691019,25.66211,27.447956,27.198918
"9204","8am",23.094961,37.93677,25.566971,13.4012979
"9205","8am",18.175158,20.98985,27.213352,33.6216357
"9206","8am",15.877199,24.99961,30.898903,28.2242831
"9207","8am",8.398431,22.65832,28.048104,40.8951494
"9208","8am",12.81562,25.94282,28.162568,33.0789901
"9209","8am",12.449497,36.6399,28.124225,22.7863818
"9210","8am",11.990614,28.37839,30.027144,29.6038569
"9211","8am",25.43316,44.29,16.970511,13.3063246
"9212","8am",19.58838,31.36028,27.19754,21.853796
"9302","8am",23.102628,40.63614,31.187757,5.0734737
"9303","8am",40.468431,37.22376,18.979002,3.328804
"9304","8am",34.024889,38.92446,22.142951,4.9076968
